Transaction_ID,Time,Amount,Location,Transaction_Type,Old_Balance,Is_International,New_Balance,Bank_Name,Bank_Branch,Device_Type,Customer_ID,Customer_Name,Age,Gender,City,KYC_Status,Account_Type,Customer_Since_Years,Avg_Monthly_Balance,Account_Number,Time_Normalized,Amount_Normalized,Location_Normalized,Transaction_Type_Normalized,Old_Balance_Normalized,New_Balance_Normalized,Bank_Name_Normalized,Bank_Branch_Normalized,Device_Type_Normalized,Customer_Name_Normalized,Age_Normalized,Gender_Normalized,City_Normalized,KYC_Status_Normalized,Account_Type_Normalized,Customer_Since_Years_Normalized,Avg_Monthly_Balance_Normalized,Time_Standardized,Amount_Standardized,Location_Standardized,Transaction_Type_Standardized,Old_Balance_Standardized,New_Balance_Standardized,Bank_Name_Standardized,Bank_Branch_Standardized,Device_Type_Standardized,Customer_Name_Standardized,Age_Standardized,Gender_Standardized,City_Standardized,KYC_Status_Standardized,Account_Type_Standardized,Customer_Since_Years_Standardized,Avg_Monthly_Balance_Standardized
TXN3SM2O8Y1QP,72,23993.75,0,2,23174.27,0,0.0,2,1,1,CUST46024605,0,54.0,1,1,2,2,8.5,155391.32,AC100000,0.07236180904522614,0.08435653822045164,0.0,1.0,0.22294402577471092,0.0,0.4,0.25,0.5,0.0,0.7058823529411765,0.5,0.2,1.0,1.0,0.5666666666666667,0.30890883046242923,-1.4663958818956249,-0.15189010086356855,-1.2807143339463336,1.2684053115928264,-1.0088416753630691,-1.1595513849214796,-0.36285034452647513,-0.6161142632090367,0.019498956833713298,-1.5108339444622507,0.7765080424817409,-0.004367149976244752,-0.8035652114465033,0.8081264679341679,1.19383394440049,0.2587119560451491,-0.6993383300159253
TXNG4V233GKAH,285,19211.43,0,0,23279.15,0,4067.720000000001,5,0,1,CUST49756567,5,66.0,0,1,1,1,2.4,60620.72,AC100001,0.2864321608040201,0.06749953445424553,0.0,0.0,0.22400809700579813,0.04271718927590327,1.0,0.0,0.5,1.0,0.9411764705882354,0.0,0.2,0.5,0.5,0.16,0.11860017656001001,-0.7254253098439697,-0.35602684615200464,-1.2807143339463336,-1.2198172048987466,-1.0050990645185909,-1.0043384847353753,1.5018682394044773,-1.3392495805822489,0.019498956833713298,1.5102129687349752,1.6147486164220468,-1.420779458938316,-0.8035652114465033,-0.4071858246468913,-0.022501582198124315,-1.1221631093458342,-1.3750257651497229
TXNGY44CGSGRP,180,11990.81,2,1,79599.01,0,67608.2,2,4,1,CUST04079182,3,66.0,1,4,2,0,13.9,282716.0,AC100002,0.18090452261306533,0.04204786695095359,0.6666666666666666,0.5,0.7954072461749286,0.7099879726242521,0.4,1.0,0.5,0.6000000000000001,0.9411764705882354,0.5,0.8,1.0,0.0,0.9266666666666666,0.5645892678486679,-1.090692493249715,-0.6642441686575224,0.48310031138952286,0.024294053347039993,1.0046579796795652,1.420189796468136,-0.36285034452647513,1.5532916889105994,0.019498956833713298,0.30179420345608476,1.6147486164220468,-0.004367149976244752,1.0091139633698358,0.8081264679341679,-1.2388371087967385,1.4811259483584787,0.20845044053561199
IMPS86TGY1RG3C,325,45597.03,2,2,13387.4,0,0.0,5,1,0,CUST99493753,2,34.0,1,3,0,0,0.9,262845.21,AC100003,0.32663316582914576,0.16050505448920932,0.6666666666666666,1.0,0.12365029189417767,0.0,1.0,0.25,0.0,0.4,0.3137254901960784,0.5,0.6000000000000001,0.0,0.0,0.06,0.5246867738592066,-0.586275906641781,0.7702613375083442,0.48310031138952286,1.2684053115928264,-1.3580831493857604,-1.1595513849214796,1.5018682394044773,-0.6161142632090367,-1.4399229661819088,-0.3024151791833604,-0.6205595807521024,-0.004367149976244752,0.4048875717643895,-1.6224981172279505,-1.2388371087967385,-1.461722551655092,0.06677735701411588
IMPSBWU343Q2HU,129,29414.82,3,1,28909.99,0,0.0,4,4,1,CUST26443183,1,43.019823788546255,1,1,0,1,6.9,102897.76,AC100004,0.12964824120603016,0.10346504568270154,1.0,0.5,0.2811363850574287,0.0,0.8,1.0,0.5,0.2,0.4905847801675737,0.5,0.2,0.0,0.5,0.46,0.20349661673638045,-1.2681079823325059,0.07951214444431177,1.365007634057451,0.024294053347039993,-0.8041642547596044,-1.1595513849214796,0.8802953780941598,1.5532916889105994,0.019498956833713298,-0.9066245618228056,0.009505608360517377,-0.004367149976244752,-0.8035652114465033,-1.6224981172279505,-0.022501582198124315,-0.10348478241805946,-1.0736024891268954
TXNVQXHD6FZLO,548,47431.74,1,1,37017.15,0,0.0,3,4,2,CUST53503820,3,29.0,1,2,2,2,10.9,252757.69,AC100005,0.5507537688442211,0.16697214857323045,0.3333333333333333,0.5,0.3633884419016398,0.0,0.6000000000000001,1.0,1.0,0.6000000000000001,0.21568627450980393,0.5,0.4,1.0,1.0,0.7266666666666667,0.5044300449536838,0.18948201621042135,0.8485772444213375,-0.3988070112784054,0.024294053347039993,-0.5148627203019278,-1.1595513849214796,0.25872251678384234,1.5532916889105994,1.4789208798493354,0.30179420345608476,-0.9698264865605631,-0.004367149976244752,-0.1993388198410569,0.8081264679341679,1.19383394440049,0.8020070637399622,-0.0051437927481616285
UPIFIO4ISBQFZ,542,19889.08,0,1,76426.48,0,56537.4,5,3,1,CUST33617183,3,44.0,1,1,2,2,12.8,20285.47,AC100006,0.5447236180904523,0.06988815516598577,0.0,0.5,0.7632200045391444,0.5937278910464469,1.0,0.75,0.5,0.6000000000000001,0.5098039215686275,0.5,0.2,1.0,1.0,0.8533333333333334,0.03760304103150694,0.16860960573009304,-0.3271008718456619,-1.2807143339463336,0.024294053347039993,0.8914472132566733,0.9977588092368809,1.5018682394044773,0.8301563715373873,0.019498956833713298,0.30179420345608476,0.07797423086481922,-0.004367149976244752,-0.8035652114465033,0.8081264679341679,1.19383394440049,1.2321156906650226,-1.6626046305149365
UPI7PLFU43O72,171,22976.5,1,2,17118.69,0,0.0,3,0,1,CUST55365016,1,43.019823788546255,1,3,0,2,0.2,144970.16,AC100007,0.17185929648241208,0.08077087538710441,0.3333333333333333,1.0,0.16150649273173806,0.0,0.6000000000000001,0.0,0.5,0.2,0.4905847801675737,0.5,0.6000000000000001,0.0,1.0,0.013333333333333334,0.28798211973461135,-1.1220011089702076,-0.1953121437516776,-0.3988070112784054,1.2684053115928264,-1.2249332026095052,-1.1595513849214796,0.25872251678384234,-1.3392495805822489,0.019498956833713298,-0.9066245618228056,0.009505608360517377,-0.004367149976244752,0.4048875717643895,-1.6224981172279505,1.19383394440049,-1.620183624732746,-0.773638238125813
IMPSOUS19XVX4Y,897,26088.97,0,0,47483.03,1,21394.06,0,4,0,CUST68406255,3,43.019823788546255,0,5,0,0,8.6,245685.15,AC100008,0.9015075376884423,0.09174189332655713,0.0,0.0,0.4695711441900727,0.2246698667558315,0.0,1.0,0.0,0.6000000000000001,0.4905847801675737,0.0,1.0,0.0,0.0,0.5733333333333333,0.49022769140658146,1.4035605591495182,-0.062454138514073464,-1.2807143339463336,-1.2198172048987466,-0.14139098131442682,-0.3432134611323486,-1.60599606714711,1.5532916889105994,-1.4399229661819088,0.30179420345608476,0.009505608360517377,-1.420779458938316,1.6133403549752823,-1.6224981172279505,-1.2388371087967385,0.2813492521990996,-0.05556899225603848
TXN83O56Y81PH,425,42030.6,3,0,60700.92,0,18670.32,3,3,1,CUST55734339,3,46.0,2,0,2,0,2.8,189551.28,AC100009,0.4271356783919598,0.14793389155115613,1.0,0.0,0.6036746575832372,0.19606649260069084,0.6000000000000001,0.75,0.5,0.6000000000000001,0.5490196078431373,1.0,0.0,1.0,0.0,0.18666666666666665,0.377505378389323,-0.23840239863630908,0.6180257253997782,1.365007634057451,-1.2198172048987466,0.33028539602273926,-0.4471438164057941,0.25872251678384234,0.8301563715373873,0.019498956833713298,0.30179420345608476,0.21768099318820355,1.4120451589858267,-1.4077916030519497,0.8081264679341679,-1.2388371087967385,-1.0316139247300318,-0.455787526742831
